"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Coriell J.; Kiremire A.; Cruse K.C.; Long W.C.","Coriell, Joshua (56022265600); Kiremire, Ankunda (53865148100); Cruse, Krystal Corbett (58615794100); Long, William C. (58615976100)","56022265600; 53865148100; 58615794100; 58615976100","BOARD # 90: WIP: Evaluating Programming Skills in the Age of LLMs: A Hybrid Approach to Student Assessment","2025","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","0","10.18260/1-2--55907","https://www.scopus.com/pages/publications/105038679951?origin=resultslist","Louisiana Tech University, United States","Coriell J., Louisiana Tech University, United States; Kiremire A., Louisiana Tech University, United States; Cruse K.C., Louisiana Tech University, United States; Long W.C., Louisiana Tech University, United States","The advent of large language models (LLMs), such as OpenAI’s ChatGPT, has augmented the challenge of assessing student understanding and ensuring academic integrity is maintained on homework assignments. In a course with a heavy focus on programming, it is common to have a significant portion of the grade be determined by such assignments. When an LLM is prompted with the instructions for a programming assignment, it can readily give a solution that required little to no thought from the student. This has made accurately assessing a student’s programming skills through homework assignments significantly more challenging. This work-in-progress paper investigates the student experience of the transition from solely at-home programming assignments to at-home programming assignments with the addition of three handwritten components in the form of in-class programming assessments. A key piece of this transition is being cautious to not add additional work to the professor’s workload by requiring additional assignments. To offset the addition of assignments, the at-home assignments were converted to automatically graded assignments using Gradescope. These changes were implemented in a pilot session in the 2024-2025 academic year. In the transition, the total programming grade remained at 20% of the course grade, however, three-fourths of this percentage is now determined by the in-class assessments, reducing the portion of the course grade that could potentially be determined through the students’ use of LLMs from 20% to 5%. To assess the effects of this change on student experiences, the students enrolled in the pilot course were surveyed on the clarity, difficulty, and effectiveness of the assignments, as well as the accuracy, fairness, and timeliness of the autograder. Instructors who taught the course were interviewed to assess the professor experience with the transition. The responses from the surveys, interviews, and student performance, provide a baseline for future adjustments to the three-course sequence to accurately assess students on their basic programming skills in a world where LLMs are becoming more prevalent. © American Society for Engineering Education, 2025.","","Curricula; Education computing; Engineering education; Academic integrity; Graded assignments; Handwritten components; Homework assignments; Hybrid approach; Language model; Programming assignments; Programming skills; Student assessment; Student experiences; Students","Conference paper","Final","","Scopus","2-s2.0-105038679951"
"Haruto S.; Nnadi L.C.; Yutaka W.","Haruto, Suzuki (60172718400); Nnadi, Leonard Chukwualuka (58658149200); Yutaka, Watanobe (8714192600)","60172718400; 58658149200; 8714192600","Systematic Review of Large Language Model Applications in Programming Education","2025","Frontiers in Artificial Intelligence and Applications","411","","","83","95","2","10.3233/FAIA250512","https://www.scopus.com/pages/publications/105021126829?origin=resultslist","Department of Computer Science and Engineering, The University of Aizu, Japan","Haruto S., Department of Computer Science and Engineering, The University of Aizu, Japan; Nnadi L.C., Department of Computer Science and Engineering, The University of Aizu, Japan; Yutaka W., Department of Computer Science and Engineering, The University of Aizu, Japan","Large language models (LLMs) such as ChatGPT, Codex, and GitHub Copilot are transforming programming education by offering personalized code generation, real-time explanations, and virtual tutoring. Despite rapid adoption, their pedagogical effectiveness and limitations remain underexplored. This systematic review synthesizes findings from 25 empirical studies published between January 2022 and May 2025 to evaluate the educational settings, benefits, challenges, and learning impacts associated with LLM use in programming instruction. Our analysis reveals that LLMs are predominantly used in university-level introductory courses, with tutoring and explanation being the most common use case. Reported benefits include enhanced student engagement, improved short-term performance, and reduced instructor workload. However, challenges such as overreliance, code inaccuracy, equity gaps, and academic integrity concerns persist. While most studies report positive short-term outcomes, long-term skill development and equitable access remain uncertain. The evidence suggests that the pedagogical value of LLMs depends on thoughtful integration strategies that combine automation with human oversight. This review provides actionable insights for educators and policymakers seeking to leverage LLMs responsibly in diverse programming education contexts.  © 2025 The Authors.","AI-assisted Education; Computer Science Education; Large Language Model (LLM); Programming Education; Systematic Review","Computer programming languages; Computer systems programming; Curricula; E-learning; Education computing; Engineering education; Learning systems; Students; Teaching; Virtual reality; AI-assisted education; Codegeneration; Computer Science Education; Language model; Large language model; Model application; Personalized code; Programming education; Real- time; Systematic Review; Computer aided instruction","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021126829"
"Barchino R.; Medina J.A.; Estriegana R.; Jiménez M.L.","Barchino, Roberto (23479340300); Medina, Jose A. (56449366800); Estriegana, Rosa (57203910564); Jiménez, M. Lourdes (60194708500)","23479340300; 56449366800; 57203910564; 60194708500","Integrating Generative AI into Engineering Education: A Case Study in Web Application Development","2025","International Journal of Engineering Education","41","6","","1502","1514","0","","https://www.scopus.com/pages/publications/105021880239?origin=resultslist","Computer Science Department, Polytechnic School, University of Alcalá., Madrid, Spain; Computer Engineering Department, Polytechnic School, University of Alcalá, Madrid, Spain","Barchino R., Computer Science Department, Polytechnic School, University of Alcalá., Madrid, Spain; Medina J.A., Computer Science Department, Polytechnic School, University of Alcalá., Madrid, Spain; Estriegana R., Computer Engineering Department, Polytechnic School, University of Alcalá, Madrid, Spain; Jiménez M.L., Computer Science Department, Polytechnic School, University of Alcalá., Madrid, Spain","The integration of Generative Artificial Intelligence (GAI) tools into higher engineering education holds transformative potential, especially in supporting programming and software development courses. This paper presents an exploratory study of GAI application in a fourth-year elective course in the Computer Engineering program at the University of Alcalá, focused on the design and development of web applications. In the course, students are required to design and implement a web application using the Model-View-Controller (MVC) design pattern with both client-side and server-side technologies. The study explores the impact of ChatGPT as a learning assistant, providing support in debugging, understanding, and implementing the MVC pattern. A conceptual model is proposed to evaluate the influence of ChatGPT across three dimensions: support in the learning process, support in academic performance improvement, and academic integrity. Additionally, the model examines how these three factors influence student satisfaction. To validate the model, a survey was designed and completed by all students enrolled in the course (n = 72). A mixed-method analysis was conducted, including descriptive statistics, relations analysis, and qualitative analysis based on an open-ended question. The main findings show that students perceive their learning and educational outcomes positively when using ChatGPT, although areas for improvement remain in satisfaction and academic integrity. Correlations indicate that increased learning is associated with higher satisfaction, while the perception of academic integrity appears to be independent. The qualitative analysis reveals that ChatGPT is regarded as a useful tool, though concerns arise around dependency and reduced cognitive effort. A regulated integration of ChatGPT is recommended to maximize benefits while minimizing potential negative impacts. This paper contributes to the growing body of evidence on the impact of GAI in education, offering a practical framework for integrating ChatGPT in project-oriented learning environments. © 2025 TEMPUS Publications.","ChatGPT; engineering education; GAI; MVC pattern; web development","Application programs; Artificial intelligence; Computer aided instruction; Curricula; E-learning; Education computing; Learning systems; Software design; Students; Web services; Academic integrity; Case-studies; ChatGPT; Generative artificial intelligence; Model-view controller; Model-view-controller pattern; Qualitative analysis; WEB application; Web applications; Web development; Engineering education","Article","Final","","Scopus","2-s2.0-105021880239"
"Narayan M.; Saharan L.K.","Narayan, Meenakshi (57203134887); Saharan, Lokesh Kumar (57191191442)","57203134887; 57191191442","Reshaping Engineering Technology Education: Fostering Critical Thinking through Open-Ended Problems in the Era of Generative AI","2024","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","6","","https://www.scopus.com/pages/publications/85202063112?origin=resultslist","Miami University, United States; Gannon University, United States","Narayan M., Miami University, United States; Saharan L.K., Gannon University, United States","Academic integrity breaches and plagiarism existed long before the rise of Generative Artificial intelligence (G-AI), where students used paid online tutoring platforms like Chegg to obtain help with homework assignments, take-home exams, and course projects. Additionally, G-AI platforms such as ChatGPT provide students with immediate support in understanding concepts and improving problem-solving abilities. However, it also opens up possibilities for students to improperly use the technology for homework and exams. This necessitates a revision in how educators design curricula and create assignments and projects. This paper discusses four teaching strategies integrated with G-AI; a) AI-assisted learning, b) Students evaluating AI generated solutions, c) Research-based learning with AI, and d) Open-ended project-based learning. Implementation of these strategies in electrical and robotics engineering technology courses such as circuits analysis, signal processing, and robotics systems is explored. These courses often require assignments that involve theoretical analysis and coding, solutions for which can easily be generated with AI. Therefore, employing these strategies in these courses is more important to effectively address plagiarism and enhance learning. An analysis comparing grade point average scores showed that student performance improved by 11.1% in the year 2023 when the proposed strategies were applied, compared to 2022 when the strategies were not implemented. This improvement was attributed to the in-class final exams conducted without access to textbooks or the internet, indicating that students had developed a solid understanding of the material and tackle final exam questions successfully. Integrating AI into teaching strategies and revamping the engineering curriculum marks a crucial advancement in preserving academic integrity and aligning with the dynamic demands of the engineering and technology fields. © American Society for Engineering Education, 2024.","","Adversarial machine learning; C (programming language); Contrastive Learning; Curricula; Engineering education; Engineering research; Teaching; Academic integrity; Course projects; Critical thinking; Design curricula; Homework assignments; Online tutoring; Open-ended problems; Problem-solving abilities; Teaching strategy; Technology education; Students","Conference paper","Final","","Scopus","2-s2.0-85202063112"
"Lepp M.; Kaimre J.","Lepp, Marina (57220778416); Kaimre, Joosep (57223885993)","57220778416; 57223885993","Does generative AI help in learning programming: Students’ perceptions, reported use and relation to performance","2025","Computers in Human Behavior Reports","18","","100642","","","21","10.1016/j.chbr.2025.100642","https://www.scopus.com/pages/publications/86000657714?origin=resultslist","Institute of Computer Science, University of Tartu, Estonia Narva mnt 18, Tartu, 51009, Estonia","Lepp M., Institute of Computer Science, University of Tartu, Estonia Narva mnt 18, Tartu, 51009, Estonia; Kaimre J., Institute of Computer Science, University of Tartu, Estonia Narva mnt 18, Tartu, 51009, Estonia","In 2022, the release of ChatGPT marked a significant advancement in the use of Artificial Intelligence (AI) chatbots, particularly impacting fields like computer science and education. The ability to generate code snippets using AI chatbots has introduced new opportunities and challenges in teaching programming. However, there is limited agreement on how students integrate them into their learning processes. This study aims to explore how students utilize AI chatbots in the “Object-Oriented Programming” course and examine the relationship between chatbot usage and academic performance. To address this, 231 students completed a survey assessing the frequency and manner of chatbot usage. Descriptive statistical methods were employed to analyze usage and perceptions, while Spearman's correlation was used to investigate the connection between chatbot usage and course performance. Results indicated that students primarily relied on AI chatbots for programming tasks. Interestingly, students' performance negatively correlates with the reported frequency of using these tools. These findings provide valuable insights for programming educators, offering a better understanding of students' perceptions and use of AI chatbots. This knowledge can inform strategies for integrating these tools effectively into computer science education. © 2025 The Authors","Academic performance; Artificial Intelligence (AI); Higher education; Programming education; Student perceptions","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000657714"
"Gomes M.C.; de Jesus Ramos S.R.; Holanda M.; Weigang L.","Gomes, Marcelo Carboni (60377810000); de Jesus Ramos, Silvana Rosa (60377306300); Holanda, Maristela (6601959236); Weigang, Li (52163887600)","60377810000; 60377306300; 6601959236; 52163887600","Generative Artificial Intelligence Applied to Student Assessment Activities in Undergraduate Programs","2026","Lecture Notes in Networks and Systems","1598 LNNS","","","265","274","0","10.1007/978-3-032-04160-9_24","https://www.scopus.com/pages/publications/105029691826?origin=resultslist","University of Brasília (UnB), Brasília, Brazil; University Evangelical of Goiás (UniEvangélica), Anápolis, Brazil","Gomes M.C., University of Brasília (UnB), Brasília, Brazil; de Jesus Ramos S.R., University Evangelical of Goiás (UniEvangélica), Anápolis, Brazil; Holanda M., University of Brasília (UnB), Brasília, Brazil; Weigang L., University of Brasília (UnB), Brasília, Brazil","The study “Generative Artificial Intelligence Applied to Student Assessment Activities in Undergraduate Programs” investigates the effectiveness of using ChatGPT in academic evaluations. Conducted at an University in Brasília (UnB), the project analyzes the impact of using ChatGPT on student assessment results in two classes of the Information Technology program. Two groups of students received six mobile programming challenges to solve in three hours. The control group (Group A) had access to books and course notes on smartphone programming languages, but no internet access. Group B students had access to ChatGPT and were encouraged to use it to help solve programming challenges. The challenge was carried out in a computer lab under faculty supervision. Student teams were scored based on their performance in solving challenges or problems. Results show that students who used ChatGPT had a scoring advantage; however, inconsistencies and inaccuracies in the programming codes presented consequently affected overall performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Assessment; ChatGPT; Generative artificial intelligence","Artificial intelligence; Curricula; Education computing; Engineering education; Teaching; Assessment; Assessment activities; ChatGPT; Control groups; Generative artificial intelligence; Information technology projects; Performance; Project analysis; Student assessment; Undergraduate projects; Students","Conference paper","Final","","Scopus","2-s2.0-105029691826"
"Gambo O.; Onifade O.J.; Olanrewaju-Smart W.; Abuya O.J.; Salawu R.E.; Massenon R.; Gambo I.","Gambo, Omobola (57222721925); Onifade, Olabamiji John (60437641500); Olanrewaju-Smart, Wasiu (60154258000); Abuya, Odianose John (60153979700); Salawu, Rukayat Enitan (60437455700); Massenon, Rhodes (57222048007); Gambo, Ishaya (57194111747)","57222721925; 60437641500; 60154258000; 60153979700; 60437455700; 57222048007; 57194111747","Impact of ChatGPT on learning outcomes and performance of students in computer programming courses: a mixed-method approach","2026","Discover Education","5","1","164","","","0","10.1007/s44217-026-01142-4","https://www.scopus.com/pages/publications/105031931831?origin=resultslist","Department of Arts and Social Science Education, Lead City University, Ibadan, 200005, Nigeria; National Centre for Technology Management, PMB 012, Obafemi Awolowo University, Osun State, Ile-Ife, 220103, Nigeria; Harvard University, Cambridge, MA, United States; School of Education and Sociology, Faculty of Humanities and Social Science, University of Portsmouth, Portsmouth, United Kingdom; Department of Computer Science and Engineering, Obafemi Awolowo University, Osun State, Ile‑Ife, 220282, Nigeria","Gambo O., Department of Arts and Social Science Education, Lead City University, Ibadan, 200005, Nigeria; Onifade O.J., National Centre for Technology Management, PMB 012, Obafemi Awolowo University, Osun State, Ile-Ife, 220103, Nigeria; Olanrewaju-Smart W., Harvard University, Cambridge, MA, United States; Abuya O.J., School of Education and Sociology, Faculty of Humanities and Social Science, University of Portsmouth, Portsmouth, United Kingdom; Salawu R.E., Department of Computer Science and Engineering, Obafemi Awolowo University, Osun State, Ile‑Ife, 220282, Nigeria; Massenon R., Department of Computer Science and Engineering, Obafemi Awolowo University, Osun State, Ile‑Ife, 220282, Nigeria; Gambo I., Department of Computer Science and Engineering, Obafemi Awolowo University, Osun State, Ile‑Ife, 220282, Nigeria","The rapid post-2022 integration of generative AI tools, such as ChatGPT, into Nigerian higher education necessitates an empirical evaluation of their impact on programming courses. This study examines the impact of ChatGPT on student learning outcomes and performance, addressing concerns related to critical thinking and academic integrity. We combined student and instructor surveys with course performance data using a mixed-methods approach within a mandatory undergraduate computer programming course in Nigeria (N = 855, an analytic sample derived from 1889 enrolled students).= Statistical analyses, including correlation and regression, examined relationships between ChatGPT usage, student perceptions (enjoyment, confidence, motivation, usefulness), and final scores. Findings reveal a significant divergence: students reported positive perceptions of ChatGPT in terms of affective benefits (e.g., increased confidence and motivation) and task-specific utility (e.g., debugging assistance); however, these perceptions did not correlate with improved academic performance. Regression results indicated that ChatGPT usage and related perceptions had limited predictive power (R2 = 0.006; no predictors were significant). Instructor observations corroborated concerns about over-reliance on AI-generated solutions and potential academic integrity issues. This research underscores the complex, nuanced impact of ChatGPT, highlighting that perceived benefits do not automatically translate into enhanced learning outcomes, and emphasizing the need for careful pedagogical integration strategies. Limitations include the study's single institution design, cross-sectional nature, and reliance on self-report data. © The Author(s) 2026.","Academic integrity; ChatGPT; Learning outcomes; Programming education; Student performance","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031931831"
"Boudia C.; Krismadinata","Boudia, Chérifa (57209177171); Krismadinata (24605408100)","57209177171; 24605408100","Early insights into SLA with chatGPT: Navigating CS teachers and student perspectives in an opinion-based exploration","2024","Edelweiss Applied Science and Technology","8","5","","648","661","4","10.55214/25768484.v8i5.1729","https://www.scopus.com/pages/publications/85205677417?origin=resultslist","Department of Computer Sciences, Faculty of Exacts Sciences, University Mustapha Stambouli of Mascara, Algeria LIO Laboratory, University Oran 1 Ahmed Ben Bella, El M'nouer, Oran, PB 1524, Algeria; Faculty of Engineering, Universitas Negeri Padang, Padang, Indonesia","Boudia C., Department of Computer Sciences, Faculty of Exacts Sciences, University Mustapha Stambouli of Mascara, Algeria LIO Laboratory, University Oran 1 Ahmed Ben Bella, El M'nouer, Oran, PB 1524, Algeria; Krismadinata, Faculty of Engineering, Universitas Negeri Padang, Padang, Indonesia","This study explores the integration of ChatGPT into Social Learning Analytics (SLA) to support programming education among computer science students at Mustapha Stambouli University, Mascara, Algeria. Utilizing a mixed-methods approach, the research combines quantitative surveys and qualitative analysis of recorded interactions of one example and interviews to examine the effectiveness, challenges, and perceptions of ChatGPT’s use in programming tasks across Arabic, French, and English. The study involved 57 students and five teachers, providing a comprehensive view of ChatGPT’s impact on learning experiences, engagement patterns, and programming performance. Results indicate that ChatGPT is frequently used as a supplementary tool, especially for programming-related queries, debugging, and last-minute assistance before deadlines. The tool’s adaptability to students’ needs, combined with its ease of use, enhances its perceived value in supporting independent learning. However, the limitations of the free version—such as restricted access, slower response times, and occasional inaccuracies—were frequently cited as barriers to consistent, effective use. Teachers acknowledged ChatGPT’s role in easing instructional burdens but emphasized the need for critical oversight to prevent over-reliance on AI-generated content. Ethical concerns regarding data privacy, academic integrity, and the quality of AI feedback were highlighted as key issues requiring attention. Interestingly, a significant portion of students expressed the belief that AI, including ChatGPT, could potentially replace human programmers in the near future, reflecting both optimism and concern about the evolving role of AI in the field. Despite this, educators maintained that while ChatGPT can augment programming education, human intuition, creativity, and contextual understanding remain irreplaceable. The study concludes that ChatGPT’s integration into SLA offers substantial opportunities to enhance educational support and enrich data on student learning behaviors. However, addressing accessibility issues, enhancing multilingual support, and mitigating ethical challenges are critical for maximizing the tool’s effectiveness. The findings underscore the importance of a balanced approach that leverages AI’s strengths while maintaining the essential role of human expertise in education and programming. © 2024, Learning Gate. All rights reserved.","Artificial intelligence; ChatGPT; Collaborative learning; Higher Education; Programming; Social learning analytics","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205677417"
"Qureshi B.","Qureshi, Basit (35293201200)","35293201200","ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings","2023","ACM International Conference Proceeding Series","","","","7","13","48","10.1145/3613944.3613946","https://www.scopus.com/pages/publications/85182740180?origin=resultslist","Department of Computer Science, Prince Sultan University, Riyadh, Saudi Arabia","Qureshi B., Department of Computer Science, Prince Sultan University, Riyadh, Saudi Arabia","The application of Artificial intelligence for teaching and learning in the academic sphere is a trending subject of interest in computing education. ChatGPT, as an AI-based tool, provides various advantages, such as heightened student involvement, cooperation, accessibility, and availability. This paper addresses the prospects and obstacles associated with utilizing ChatGPT as a tool for learning and assessment in undergraduate Computer Science curriculum in particular to teaching and learning fundamental programming courses. Students having completed the course work for a Data Structures and Algorithms (a sophomore-level course) participated in this study. Two groups of students were given programming challenges to solve within a short period of time. The control group (group A) had access to textbooks and notes of programming courses, however, no Internet access was provided. Group B students were given access to ChatGPT and were encouraged to use it to help solve the programming challenges. The challenge was conducted in a computer lab environment using Programming Contest Control (PC2) environment which is widely used in ACM International Collegiate Programming Contest (ICPC). Each team of students addresses the problem by writing executable code that satisfies a certain number of test cases. Student teams were scored based on their performance in terms of the number of successfully passed test cases. Results show that students using ChatGPT had an advantage in terms of earned scores, however, there were inconsistencies and inaccuracies in the submitted code consequently affecting the overall performance. After a thorough analysis, the paper's findings indicate that incorporating AI in higher education brings about various opportunities and challenges. Nonetheless, universities can efficiently manage these apprehensions by adopting a proactive and ethical stance toward the implementation of such tools.  © 2023 ACM.","Academic assessment; ChatGPT; Data Structures and Algorithms; programming concepts","Codes (symbols); Computer programming; Curricula; Data structures; Education computing; Engineering education; Teaching; Academic assessment; ChatGPT; Computer science curricula; Curriculum assessment; Data structure and algorithm; Performance; Programming concepts; Programming course; Teaching and learning; Test case; Students","Conference paper","Final","","Scopus","2-s2.0-85182740180"
"Davar N.F.; Dewan M.A.A.; Zhang X.","Davar, Narius Farhad (59708107500); Dewan, M. Ali Akber (7005076491); Zhang, Xiaokun (57191417708)","59708107500; 7005076491; 57191417708","AI Chatbots in Education: Challenges and Opportunities","2025","Information (Switzerland)","16","3","235","","","81","10.3390/info16030235","https://www.scopus.com/pages/publications/105000923792?origin=resultslist","School of Computing and Information Systems, Faculty of Science and Technology, Athabasca University, Alberta, T9S 3A3, AB, Canada","Davar N.F., School of Computing and Information Systems, Faculty of Science and Technology, Athabasca University, Alberta, T9S 3A3, AB, Canada; Dewan M.A.A., School of Computing and Information Systems, Faculty of Science and Technology, Athabasca University, Alberta, T9S 3A3, AB, Canada; Zhang X., School of Computing and Information Systems, Faculty of Science and Technology, Athabasca University, Alberta, T9S 3A3, AB, Canada","With the emergence of artificial intelligence (AI), machine-learning (ML), and chatbot technologies, the field of education has been transformed drastically. The latest advancements in AI chatbots (such as ChatGPT) have proven to offer several benefits for students and educators. However, these benefits also come with inherent challenges, that can impede students’ learning and create hurdles for educators. The study aims to explore the benefits and challenges of AI chatbots in educational settings, with the goal of identifying how they can address existing barriers to learning. The paper begins by outlining the historical evolution of chatbots along with key elements that encompass the architecture of an AI chatbot. The paper then delves into the challenges and limitations associated with the integration of AI chatbots into education. The research findings from this narrative review reveal several benefits of using AI chatbots in education. AI chatbots like ChatGPT can function as virtual tutoring assistants, fostering an adaptive learning environment by aiding students with various learning activities, such as learning programming languages and foreign languages, understanding complex concepts, assisting with research activities, and providing real-time feedback. Educators can leverage such chatbots to create course content, generate assessments, evaluate student performance, and utilize them for data analysis and research. However, this technology presents significant challenges concerning data security and privacy. Additionally, ethical concerns regarding academic integrity and reliance on technology are some of the key challenges. Ultimately, AI chatbots offer endless opportunities by fostering a dynamic and interactive learning environment. However, to help students and teachers maximize the potential of this robust technology, it is essential to understand the risks, benefits, and ethical use of AI chatbots in education. © 2025 by the authors.","AI chatbots; chatbots in education; ChatGPT; generative AI; large language models; natural language processing","Contrastive Learning; Ethical technology; Federated learning; Artificial intelligence chatbot; Chatbot in education; Chatbots; ChatGPT; Generative artificial intelligence; Language model; Language processing; Large language model; Natural language processing; Natural languages; Adversarial machine learning","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000923792"
"Reeves B.; Sarsa S.; Prather J.; Denny P.; Becker B.A.; Hellas A.; Kimmel B.; Powell G.; Leinonen J.","Reeves, Brent (58461310700); Sarsa, Sami (57219472588); Prather, James (57195505814); Denny, Paul (9269552700); Becker, Brett A. (24436490600); Hellas, Arto (57192188480); Kimmel, Bailey (58512571100); Powell, Garrett (57223387607); Leinonen, Juho (57156123300)","58461310700; 57219472588; 57195505814; 9269552700; 24436490600; 57192188480; 58512571100; 57223387607; 57156123300","Evaluating the Performance of Code Generation Models for Solving Parsons Problems with Small Prompt Variations","2023","Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE","1","","","299","305","58","10.1145/3587102.3588805","https://www.scopus.com/pages/publications/85166269580?origin=resultslist","Abilene Christian University, Abilene, TX, United States; Aalto University, Espoo, Finland; University of Auckland, Auckland, New Zealand; University College Dublin, Dublin, Ireland","Reeves B., Abilene Christian University, Abilene, TX, United States; Sarsa S., Aalto University, Espoo, Finland; Prather J., Abilene Christian University, Abilene, TX, United States; Denny P., University of Auckland, Auckland, New Zealand; Becker B.A., University College Dublin, Dublin, Ireland; Hellas A., Aalto University, Espoo, Finland; Kimmel B., Abilene Christian University, Abilene, TX, United States; Powell G., Abilene Christian University, Abilene, TX, United States; Leinonen J., University of Auckland, Auckland, New Zealand","The recent emergence of code generation tools powered by large language models has attracted wide attention. Models such as OpenAI Codex can take natural language problem descriptions as input and generate highly accurate source code solutions, with potentially significant implications for computing education. Given the many complexities that students face when learning to write code, they may quickly become reliant on such tools without properly understanding the underlying concepts. One popular approach for scaffolding the code writing process is to use Parsons problems, which present solution lines of code in a scrambled order. These remove the complexities of low-level syntax, and allow students to focus on algorithmic and design-level problem solving. It is unclear how well code generation models can be applied to solve Parsons problems, given the mechanics of these models and prior evidence that they underperform when problems include specific restrictions. In this paper, we explore the performance of the Codex model for solving Parsons problems over various prompt variations. Using a corpus of Parsons problems we sourced from the computing education literature, we find that Codex successfully reorders the problem blocks about half of the time, a much lower rate of success when compared to prior work on more free-form programming tasks. Regarding prompts, we find that small variations in prompting have a noticeable effect on model performance, although the effect is not as pronounced as between different problems.  © 2023 Owner/Author.","academic integrity; ai; artificial intelligence; chatgpt; code generation; code writing; codex; computer programming; copilot; CS1; deep learning; generative ai; GitHub; GPT-3; introductory programming; large language models; machine learning; ML; natural language processing; neural networks; novice programming; openAI","Codes (symbols); Computer programming; Deep learning; Education computing; Learning algorithms; Learning systems; Natural language processing systems; Scaffolds; Students; Academic integrity; Ai; Chatgpt; Code-writing; Codegeneration; Codex; Copilot; Deep learning; Generative ai; Github; GPT-3; Introductory programming; Language model; Language processing; Large language model; Machine-learning; ML; Natural language processing; Natural languages; Neural-networks; Novice programming; Openai; Neural networks","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166269580"
"Erazo-Arteaga V.A.; Vacas Palacios S.M.; Cisneros Ruáles M.B.","Erazo-Arteaga, Víctor Alfonso (58852691100); Vacas Palacios, Santiago Marcelo (60624547300); Cisneros Ruáles, Marcelo Bayardo (60624922900)","58852691100; 60624547300; 60624922900","Generative artificial intelligence for teaching mathematics and programming in higher education: A systematic review; [Inteligencia artificial generativa para la enseñanza de matemáticas y programación en educación superior: Revisión sistemática]","2026","Revista de Ciencias Sociales","32","2","","320","340","0","10.31876/rcs.v32i2.45578","https://www.scopus.com/pages/publications/105038447048?origin=resultslist","Universidad Técnica del Norte, Imbabura, Ibarra, Ecuador","Erazo-Arteaga V.A., Universidad Técnica del Norte, Imbabura, Ibarra, Ecuador; Vacas Palacios S.M., Universidad Técnica del Norte, Imbabura, Ibarra, Ecuador; Cisneros Ruáles M.B., Universidad Técnica del Norte, Imbabura, Ibarra, Ecuador","The rapid expansion of generative artificial intelligence has sparked growing interest in its educational applications, especially in areas requiring logical reasoning and abstraction. The objective of this systematic review was to analyze the impact of generative artificial intelligence on university student learning, as well as on lesson planning by faculty. The PRISMA guidelines were applied, defining inclusion and exclusion criteria based on PICO and PCC questions. A search of Scopus, Web of Science, and IEEE Xplore yielded 710 records, of which 67 met the established criteria. The results show literature dominated by descriptive studies, predominantly ChatGPT, which report benefits in motivation and productivity, although without conclusive evidence of improvements in academic performance. The research is concentrated in a few countries, with a lack of Latin American publications. In conclusion, the use of generative artificial intelligence offers promising pedagogical potential, but its effectiveness depends on its critical integration with teaching practices and the generation of more robust experimental studies that allow for the establishment of solid and generalizable evidence. © Licencia de Creative Commons Atribución 4.0 Internacional (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/deed.es","ChatGPT; Generative artificial intelligence; higher education; mathematics education; programming education","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105038447048"
